venue_id,venue_name,neighborhood,city,state,country
1,Dolby Theatre,Hollywood,Los Angeles,,United States
2,Kodak Theatre,Hollywood,Los Angeles,,United States
3,Shrine Auditorium,University Park,Los Angeles,,United States
4,Dorothy Chandler Pavilion,Downtown,Los Angeles,,United States
5,Santa Monica Civic Auditorium,Santa Monica,Los Angeles,,United States
6,Grauman's Chinese Theatre,Hollywood,Los Angeles,,United States
7,Roosevelt Hotel,Hollywood,Los Angeles,,United States
8,Hollywood Roosevelt Hotel In LosÂ Angeles,,Los Angeles,,United States
9,Biltmore Hotel In Los Angeles,,Los Angeles,,United States
10,A Large Public Venue,,Los Angeles,,United States
11,Dorothy Chandler Pavilion To Honor The Best Films Of 1970,,Los Angeles,,United States
12,Beverly Hilton In Beverly Hills,,Los Angeles,,United States
13,Dorothy Chandler Pavilion In Downtown Los Angeles,,Los Angeles,,United States
14,Beverly Hills Hotel In Beverly Hills,,Los Angeles,,United States
15,Century Plaza Hotel In Los Angeles On March 7,,Los Angeles,,United States
16,Century Plaza Hotel In Los Angeles On March 6,,Los Angeles,,United States
17,Regent Beverly Wilshire Hotel In Beverly Hills,,Los Angeles,,United States
18,Dolby Theatre In Hollywood,,Los Angeles,,United States
19,Ray Dolby Ballroom Of The Ovation Hollywood Complex In Hollywood,,Los Angeles,,United States
